Station Code,Station Name
BHM,Birmingham New Street
BRI,Bristol Temple Meads
CDF,Cardiff Central
COV,Coventry
CRE,Crewe
DID,Didcot
DON,Doncaster
DUR,Durham
EDB,Edinburgh Waverley
LDS,Leeds
LEI,Leicester
LIV,Liverpool Lime Street
EUS,London Euston
KGX,London Kings Cross
PAD,London Paddington
STP,London St Pancras
WAT,London Waterloo
MAN,Manchester Piccadilly
NOT,Nottingham
NUN,Nuneaton
OXF,Oxford
PBO,Peterborough
RDG,Reading
SHF,Sheffield
STA,Stafford
SWI,Swindon
TAM,Tamworth
WKF,Wakefield
WAC,Warrington
WVH,Wolverhampton
YRK,York
